Redshift Table,Databricks Table
prod_dimensional.fact_meas_usage_daily_per_application,analytics.dimensional.fact_meas_usage_daily_per_application
prod_dimensional.fact_opportunity,analytics.dimensional.fact_opportunity
prod_dimensional.fact_opportunity_snapshot,analytics.dimensional.fact_opportunity_snapshot
prod_dimensional.fact_opportunity_split,analytics.dimensional.fact_opportunity_split
prod_dimensional.fact_platform_landing_page_performance,analytics.dimensional.fact_platform_landing_page_performance
prod_dimensional.fact_professional_services_activity,analytics.dimensional.fact_professional_services_activity
prod_dimensional.fact_recommend_model_run_metadata,analytics.dimensional.fact_recommend_model_run_metadata
prod_dimensional.fact_sales_activities,analytics.dimensional.fact_sales_activities
prod_dimensional.fact_sales_case,analytics.dimensional.fact_sales_case
prod_dimensional.fact_sales_line_item,analytics.dimensional.fact_sales_line_item
prod_dimensional.fact_sales_subscriptions,analytics.dimensional.fact_sales_subscriptions
prod_dimensional.fact_support_project_entry,analytics.dimensional.fact_support_project_entry
prod_dimensional.fact_support_ticket_comment,analytics.dimensional.fact_support_ticket_comment
prod_dimensional.fact_ua_sessions,analytics.dimensional.fact_ua_sessions
prod_dimensional.fact_xdr_meeting,analytics.dimensional.fact_xdr_meeting
prod_dimensional.intermediate_ga4_attribution_logic,analytics.dimensional.intermediate_ga4_attribution_logic
prod_dimensional.intermediate_ga4_attribution_summary,analytics.dimensional.intermediate_ga4_attribution_summary
prod_dimensional.sales_quote,analytics.dimensional.sales_quote
prod_dimensional.sales_quote,standardized.common.sales_quote
prod_mart_algolia.fact_daily_fx_library,mart.algolia.fact_daily_fx_library
prod_mart_algolia.fact_gap_details,mart.algolia.fact_gap_details
prod_mart_algolia.fact_neuralsearch_pov,mart.algolia.fact_neuralsearch_pov
prod_mart_algolia.recommend_model_run_report,mart.algolia.recommend_model_run_report
prod_mart_algolia.rpt_account_abx_status_summary,mart.algolia.rpt_account_abx_status_summary
prod_mart_algolia.rpt_account_journey_stage_summary,mart.algolia.rpt_account_journey_stage_summary
prod_mart_algolia.rpt_customer,mart.algolia.rpt_customer
prod_mart_algolia.rpt_customer_user_applications,mart.algolia.rpt_customer_user_applications
prod_mart_algolia.rpt_ga_combined_sessions,mart.algolia.rpt_ga_combined_sessions
prod_mart_algolia.rpt_ga4_sessions,mart.algolia.rpt_ga4_sessions
prod_mart_algolia.rpt_salesforce_account_naics_details,mart.algolia.rpt_salesforce_account_naics_details
prod_mart_algolia.rpt_weekly_adoption,mart.algolia.rpt_weekly_adoption
prod_mart_algolia.rpt_weekly_per_application,mart.algolia.rpt_weekly_per_application
prod_mart_customer_success.dim_support_ticket_metrics,mart.customer_success.dim_support_ticket_metrics
prod_mart_customer_success.mart_poc_customers_above_10k,mart.customer_success.mart_poc_customers_above_10k
prod_mart_customer_success.mart_poc_customers_go_live_others,mart.customer_success.mart_poc_customers_go_live_others
prod_mart_customer_success.mart_poc_likely_go_live_date,mart.customer_success.mart_poc_likely_go_live_date
prod_mart_customer_success.mart_poc_search_50_arr_go_live_dates,mart.customer_success.mart_poc_search_50_arr_go_live_dates
prod_mart_customer_success.mart_poc_search_slg_applications,mart.customer_success.mart_poc_search_slg_applications
prod_mart_customer_success.mart_poc_weekly_go_live_date,mart.customer_success.mart_poc_weekly_go_live_date
prod_mart_customer_success.poc_customer_spikes,mart.customer_success.poc_customer_spikes
prod_mart_customer_success.poc_other_upward_spikes,mart.customer_success.poc_other_upward_spikes
prod_mart_customer_success.poc_search_go_live_date,mart.customer_success.poc_search_go_live_date
prod_mart_customer_success.poc_search_spike_detection,mart.customer_success.poc_search_spike_detection
prod_mart_customer_success.poc_search_spike_summary,mart.customer_success.poc_search_spike_summary
prod_mart_customer_success.poc_search_upward_likely_go_live_date,mart.customer_success.poc_search_upward_likely_go_live_date
prod_mart_customer_success.poc_search_upward_spikes,mart.customer_success.poc_search_upward_spikes
prod_mart_customer_success.poc_search_weekly_go_live_date,mart.customer_success.poc_search_weekly_go_live_date
prod_mart_customer_success.poc_weekly_highest_search_ups,mart.customer_success.poc_weekly_highest_search_ups
prod_mart_customer_success.rpt_academy_certification,mart.customer_success.rpt_academy_certification
prod_mart_customer_success.rpt_academy_registration,mart.customer_success.rpt_academy_registration
prod_mart_customer_success.rpt_application_current_usage,mart.customer_success.rpt_application_current_usage
prod_mart_customer_success.rpt_current_usage,mart.customer_success.rpt_current_usage
prod_mart_customer_success.rpt_customer_journey_browse_live,mart.customer_success.rpt_customer_journey_browse_live
prod_mart_customer_success.rpt_customer_journey_per_account,mart.customer_success.rpt_customer_journey_per_account
prod_mart_customer_success.rpt_customer_journey_recommend_live,mart.customer_success.rpt_customer_journey_recommend_live
prod_mart_customer_success.rpt_customer_journey_search_live,mart.customer_success.rpt_customer_journey_search_live
prod_mart_customer_success.rpt_dashboard_visits,mart.customer_success.rpt_dashboard_visits
prod_mart_customer_success.rpt_pre_live_metrics,mart.customer_success.rpt_pre_live_metrics
prod_mart_customer_success.rpt_product_adoption,mart.customer_success.rpt_product_adoption
prod_mart_customer_success.rpt_product_adoption_per_account,mart.customer_success.rpt_product_adoption_per_account
