Redshift Table,Databricks Table
segment_algolia_dashboard_backend.clicked_add_new_fallback_strategy,redshift.segment_algolia_dashboard_backend.clicked_add_new_fallback_strategy
segment_algolia_dashboard_backend.clicked_add_new_filters,redshift.segment_algolia_dashboard_backend.clicked_add_new_filters
segment_algolia_dashboard_backend.clicked_add_query_parameter,redshift.segment_algolia_dashboard_backend.clicked_add_query_parameter
segment_algolia_dashboard_backend.clicked_add_sepa_account,redshift.segment_algolia_dashboard_backend.clicked_add_sepa_account
segment_algolia_dashboard_backend.clicked_add_synonyms,redshift.segment_algolia_dashboard_backend.clicked_add_synonyms
segment_algolia_dashboard_backend.clicked_add_team_member,redshift.segment_algolia_dashboard_backend.clicked_add_team_member
segment_algolia_dashboard_backend.clicked_add_to_strategy,redshift.segment_algolia_dashboard_backend.clicked_add_to_strategy
segment_algolia_dashboard_backend.clicked_add_tracking,redshift.segment_algolia_dashboard_backend.clicked_add_tracking
segment_algolia_dashboard_backend.clicked_add_user_token,redshift.segment_algolia_dashboard_backend.clicked_add_user_token
segment_algolia_dashboard_backend.clicked_advanced_analytics,redshift.segment_algolia_dashboard_backend.clicked_advanced_analytics
segment_algolia_dashboard_backend.clicked_ai_optimization,redshift.segment_algolia_dashboard_backend.clicked_ai_optimization
segment_algolia_dashboard_backend.clicked_ai_personalization,redshift.segment_algolia_dashboard_backend.clicked_ai_personalization
segment_algolia_dashboard_backend.clicked_ai_re_ranking,redshift.segment_algolia_dashboard_backend.clicked_ai_re_ranking
segment_algolia_dashboard_backend.clicked_ai_re_ranking_simulator_item,redshift.segment_algolia_dashboard_backend.clicked_ai_re_ranking_simulator_item
segment_algolia_dashboard_backend.clicked_alg_assist_suggestion_link,redshift.segment_algolia_dashboard_backend.clicked_alg_assist_suggestion_link
segment_algolia_dashboard_backend.clicked_analytics,redshift.segment_algolia_dashboard_backend.clicked_analytics
segment_algolia_dashboard_backend.clicked_applied_a_sorting_strategy,redshift.segment_algolia_dashboard_backend.clicked_applied_a_sorting_strategy
segment_algolia_dashboard_backend.clicked_apply_compare_date_range,redshift.segment_algolia_dashboard_backend.clicked_apply_compare_date_range
segment_algolia_dashboard_backend.clicked_apply_date_range,redshift.segment_algolia_dashboard_backend.clicked_apply_date_range
segment_algolia_dashboard_backend.clicked_apply_events_source,redshift.segment_algolia_dashboard_backend.clicked_apply_events_source
segment_algolia_dashboard_backend.clicked_apply_fallback_strategy,redshift.segment_algolia_dashboard_backend.clicked_apply_fallback_strategy
segment_algolia_dashboard_backend.clicked_apply_filters,redshift.segment_algolia_dashboard_backend.clicked_apply_filters
segment_algolia_dashboard_backend.clicked_apply_no_fallback_strategy,redshift.segment_algolia_dashboard_backend.clicked_apply_no_fallback_strategy
segment_algolia_dashboard_backend.clicked_apply_no_filters,redshift.segment_algolia_dashboard_backend.clicked_apply_no_filters
segment_algolia_dashboard_backend.clicked_attach_to_existing_subscription,redshift.segment_algolia_dashboard_backend.clicked_attach_to_existing_subscription
segment_algolia_dashboard_backend.clicked_autofiltering,redshift.segment_algolia_dashboard_backend.clicked_autofiltering
segment_algolia_dashboard_backend.clicked_autofiltering_preview,redshift.segment_algolia_dashboard_backend.clicked_autofiltering_preview
segment_algolia_dashboard_backend.clicked_back,redshift.segment_algolia_dashboard_backend.clicked_back
segment_algolia_dashboard_backend.clicked_back_button,redshift.segment_algolia_dashboard_backend.clicked_back_button
segment_algolia_dashboard_backend.clicked_banned_tree_node,redshift.segment_algolia_dashboard_backend.clicked_banned_tree_node
segment_algolia_dashboard_backend.clicked_book_a_call,redshift.segment_algolia_dashboard_backend.clicked_book_a_call
segment_algolia_dashboard_backend.clicked_boost,redshift.segment_algolia_dashboard_backend.clicked_boost
segment_algolia_dashboard_backend.clicked_bury,redshift.segment_algolia_dashboard_backend.clicked_bury
segment_algolia_dashboard_backend.clicked_cancel_a_rule_update,redshift.segment_algolia_dashboard_backend.clicked_cancel_a_rule_update
segment_algolia_dashboard_backend.clicked_cancel_budget_create,redshift.segment_algolia_dashboard_backend.clicked_cancel_budget_create
segment_algolia_dashboard_backend.clicked_cancel_compare_date_range,redshift.segment_algolia_dashboard_backend.clicked_cancel_compare_date_range
segment_algolia_dashboard_backend.clicked_cancel_date_range,redshift.segment_algolia_dashboard_backend.clicked_cancel_date_range
segment_algolia_dashboard_backend.clicked_cancel_in_index_configuration,redshift.segment_algolia_dashboard_backend.clicked_cancel_in_index_configuration
segment_algolia_dashboard_backend.clicked_category,redshift.segment_algolia_dashboard_backend.clicked_category
segment_algolia_dashboard_backend.clicked_category_page_analytics_empty_state_configure_button,redshift.segment_algolia_dashboard_backend.clicked_category_page_analytics_empty_state_configure_button
segment_algolia_dashboard_backend.clicked_category_page_tab_empty_state_configure_button,redshift.segment_algolia_dashboard_backend.clicked_category_page_tab_empty_state_configure_button
segment_algolia_dashboard_backend.clicked_category_pages,redshift.segment_algolia_dashboard_backend.clicked_category_pages
segment_algolia_dashboard_backend.clicked_category_quick_analytics_empty_state_configure_button,redshift.segment_algolia_dashboard_backend.clicked_category_quick_analytics_empty_state_configure_button
segment_algolia_dashboard_backend.clicked_change_email_link,redshift.segment_algolia_dashboard_backend.clicked_change_email_link
segment_algolia_dashboard_backend.clicked_change_sorting_strategy,redshift.segment_algolia_dashboard_backend.clicked_change_sorting_strategy
segment_algolia_dashboard_backend.clicked_change_status,redshift.segment_algolia_dashboard_backend.clicked_change_status
segment_algolia_dashboard_backend.clicked_change_subscription_type_tabs,redshift.segment_algolia_dashboard_backend.clicked_change_subscription_type_tabs
segment_algolia_dashboard_backend.clicked_choose_search_plan,redshift.segment_algolia_dashboard_backend.clicked_choose_search_plan
segment_algolia_dashboard_backend.clicked_clear_index,redshift.segment_algolia_dashboard_backend.clicked_clear_index
segment_algolia_dashboard_backend.clicked_clear_indices,redshift.segment_algolia_dashboard_backend.clicked_clear_indices
segment_algolia_dashboard_backend.clicked_close,redshift.segment_algolia_dashboard_backend.clicked_close
segment_algolia_dashboard_backend.clicked_close_button,redshift.segment_algolia_dashboard_backend.clicked_close_button
segment_algolia_dashboard_backend.clicked_close_update_email,redshift.segment_algolia_dashboard_backend.clicked_close_update_email
segment_algolia_dashboard_backend.clicked_collapsed_specific_tree_node,redshift.segment_algolia_dashboard_backend.clicked_collapsed_specific_tree_node
segment_algolia_dashboard_backend.clicked_compare_current_range,redshift.segment_algolia_dashboard_backend.clicked_compare_current_range
segment_algolia_dashboard_backend.clicked_compare_plans_and_pricing,redshift.segment_algolia_dashboard_backend.clicked_compare_plans_and_pricing
segment_algolia_dashboard_backend.clicked_compare_previous_month,redshift.segment_algolia_dashboard_backend.clicked_compare_previous_month
segment_algolia_dashboard_backend.clicked_compare_previous_period,redshift.segment_algolia_dashboard_backend.clicked_compare_previous_period
segment_algolia_dashboard_backend.clicked_compare_previous_range,redshift.segment_algolia_dashboard_backend.clicked_compare_previous_range
segment_algolia_dashboard_backend.clicked_compare_previous_week,redshift.segment_algolia_dashboard_backend.clicked_compare_previous_week
segment_algolia_dashboard_backend.clicked_comparison_mode,redshift.segment_algolia_dashboard_backend.clicked_comparison_mode
segment_algolia_dashboard_backend.clicked_complete_migration_in_advanced_personalization,redshift.segment_algolia_dashboard_backend.clicked_complete_migration_in_advanced_personalization
segment_algolia_dashboard_backend.clicked_components_tab,redshift.segment_algolia_dashboard_backend.clicked_components_tab
segment_algolia_dashboard_backend.clicked_condition,redshift.segment_algolia_dashboard_backend.clicked_condition
segment_algolia_dashboard_backend.clicked_configuration,redshift.segment_algolia_dashboard_backend.clicked_configuration
segment_algolia_dashboard_backend.clicked_configure_category_merchandising,redshift.segment_algolia_dashboard_backend.clicked_configure_category_merchandising
segment_algolia_dashboard_backend.clicked_configure_custom_ranking,redshift.segment_algolia_dashboard_backend.clicked_configure_custom_ranking
segment_algolia_dashboard_backend.clicked_configure_facets_link_in_index_configuration,redshift.segment_algolia_dashboard_backend.clicked_configure_facets_link_in_index_configuration
segment_algolia_dashboard_backend.clicked_configure_neural_perso,redshift.segment_algolia_dashboard_backend.clicked_configure_neural_perso
segment_algolia_dashboard_backend.clicked_configure_neural_search,redshift.segment_algolia_dashboard_backend.clicked_configure_neural_search
segment_algolia_dashboard_backend.clicked_configure_relevant_sort,redshift.segment_algolia_dashboard_backend.clicked_configure_relevant_sort
segment_algolia_dashboard_backend.clicked_configure_searchable_attributes,redshift.segment_algolia_dashboard_backend.clicked_configure_searchable_attributes
segment_algolia_dashboard_backend.clicked_configure_sorting_strategies,redshift.segment_algolia_dashboard_backend.clicked_configure_sorting_strategies
segment_algolia_dashboard_backend.clicked_configure_sorting_strategy,redshift.segment_algolia_dashboard_backend.clicked_configure_sorting_strategy
segment_algolia_dashboard_backend.clicked_connector_landing_page_connect,redshift.segment_algolia_dashboard_backend.clicked_connector_landing_page_connect
segment_algolia_dashboard_backend.clicked_connectors,redshift.segment_algolia_dashboard_backend.clicked_connectors
segment_algolia_dashboard_backend.clicked_contact_link_from_records_file_upload_modal,redshift.segment_algolia_dashboard_backend.clicked_contact_link_from_records_file_upload_modal
segment_algolia_dashboard_backend.clicked_contact_sales_cta,redshift.segment_algolia_dashboard_backend.clicked_contact_sales_cta
segment_algolia_dashboard_backend.clicked_contact_support,redshift.segment_algolia_dashboard_backend.clicked_contact_support
segment_algolia_dashboard_backend.clicked_context,redshift.segment_algolia_dashboard_backend.clicked_context
segment_algolia_dashboard_backend.clicked_continue_from_mobile_transition_signup_page,redshift.segment_algolia_dashboard_backend.clicked_continue_from_mobile_transition_signup_page
segment_algolia_dashboard_backend.clicked_cookie_preferences,redshift.segment_algolia_dashboard_backend.clicked_cookie_preferences
segment_algolia_dashboard_backend.clicked_copy_index_name,redshift.segment_algolia_dashboard_backend.clicked_copy_index_name
segment_algolia_dashboard_backend.clicked_copy_permissions,redshift.segment_algolia_dashboard_backend.clicked_copy_permissions
segment_algolia_dashboard_backend.clicked_copy_rule,redshift.segment_algolia_dashboard_backend.clicked_copy_rule
segment_algolia_dashboard_backend.clicked_cost_management,redshift.segment_algolia_dashboard_backend.clicked_cost_management
segment_algolia_dashboard_backend.clicked_cost_management_register_your_interest_button,redshift.segment_algolia_dashboard_backend.clicked_cost_management_register_your_interest_button
segment_algolia_dashboard_backend.clicked_crawler,redshift.segment_algolia_dashboard_backend.clicked_crawler
segment_algolia_dashboard_backend.clicked_create_a_new_separate_subscription,redshift.segment_algolia_dashboard_backend.clicked_create_a_new_separate_subscription
segment_algolia_dashboard_backend.clicked_create_application,redshift.segment_algolia_dashboard_backend.clicked_create_application
segment_algolia_dashboard_backend.clicked_create_budget,redshift.segment_algolia_dashboard_backend.clicked_create_budget
segment_algolia_dashboard_backend.clicked_create_child_application,redshift.segment_algolia_dashboard_backend.clicked_create_child_application
segment_algolia_dashboard_backend.clicked_create_composition,redshift.segment_algolia_dashboard_backend.clicked_create_composition
segment_algolia_dashboard_backend.clicked_create_index,redshift.segment_algolia_dashboard_backend.clicked_create_index
segment_algolia_dashboard_backend.clicked_create_new_strategy,redshift.segment_algolia_dashboard_backend.clicked_create_new_strategy
segment_algolia_dashboard_backend.clicked_create_replica,redshift.segment_algolia_dashboard_backend.clicked_create_replica
segment_algolia_dashboard_backend.clicked_create_strategy,redshift.segment_algolia_dashboard_backend.clicked_create_strategy
segment_algolia_dashboard_backend.clicked_custom_consequence,redshift.segment_algolia_dashboard_backend.clicked_custom_consequence
segment_algolia_dashboard_backend.clicked_data_center_location,redshift.segment_algolia_dashboard_backend.clicked_data_center_location
segment_algolia_dashboard_backend.clicked_deactivate_neural_search,redshift.segment_algolia_dashboard_backend.clicked_deactivate_neural_search
segment_algolia_dashboard_backend.clicked_declined_synonyms,redshift.segment_algolia_dashboard_backend.clicked_declined_synonyms
segment_algolia_dashboard_backend.clicked_delete_account,redshift.segment_algolia_dashboard_backend.clicked_delete_account
segment_algolia_dashboard_backend.clicked_delete_all_synonyms,redshift.segment_algolia_dashboard_backend.clicked_delete_all_synonyms
segment_algolia_dashboard_backend.clicked_delete_all_virtual_replicas,redshift.segment_algolia_dashboard_backend.clicked_delete_all_virtual_replicas
segment_algolia_dashboard_backend.clicked_delete_and_apply,redshift.segment_algolia_dashboard_backend.clicked_delete_and_apply
segment_algolia.algolia_webstatic_dev_inte_firebase_click,redshift.segment_algolia.algolia_webstatic_dev_inte_firebase_click
segment_algolia.algolia_webstatic_dev_inte_shopify_click,redshift.segment_algolia.algolia_webstatic_dev_inte_shopify_click
segment_algolia.algolia_webstatic_ent_over_herowatch_click,redshift.segment_algolia.algolia_webstatic_ent_over_herowatch_click
segment_algolia.algolia_webstatic_ent_secu_samlsso_click,redshift.segment_algolia.algolia_webstatic_ent_secu_samlsso_click
segment_algolia.algolia_webstatic_ent_secu_vault_learnmore_click,redshift.segment_algolia.algolia_webstatic_ent_secu_vault_learnmore_click
segment_algolia.algolia_webstatic_footer_company_press,redshift.segment_algolia.algolia_webstatic_footer_company_press
segment_algolia.algolia_webstatic_footer_products_infra,redshift.segment_algolia.algolia_webstatic_footer_products_infra
segment_algolia.algolia_webstatic_footer_products_searchapi,redshift.segment_algolia.algolia_webstatic_footer_products_searchapi
segment_algolia.algolia_webstatic_hp_devblog_click,redshift.segment_algolia.algolia_webstatic_hp_devblog_click
segment_algolia.algolia_webstatic_hp_infra_reliable_click,redshift.segment_algolia.algolia_webstatic_hp_infra_reliable_click
segment_algolia.algolia_webstatic_press_contact_click,redshift.segment_algolia.algolia_webstatic_press_contact_click
segment_algolia.algolia_webstatic_press_media_click,redshift.segment_algolia.algolia_webstatic_press_media_click
segment_algolia.algolia_webstatic_pricing_devpanel_signup_click,redshift.segment_algolia.algolia_webstatic_pricing_devpanel_signup_click
segment_algolia.algolia_webstatic_pro_anal_analyticsdocs_click,redshift.segment_algolia.algolia_webstatic_pro_anal_analyticsdocs_click
segment_algolia.algolia_webstatic_pro_inst_react_click,redshift.segment_algolia.algolia_webstatic_pro_inst_react_click
segment_algolia.algolia_webstatic_pro_over_docsearch_click,redshift.segment_algolia.algolia_webstatic_pro_over_docsearch_click
segment_algolia.algolia_webstatic_pro_pers_dl_story_download,redshift.segment_algolia.algolia_webstatic_pro_pers_dl_story_download
segment_algolia.algolia_webstatic_resources_webinars_click,redshift.segment_algolia.algolia_webstatic_resources_webinars_click
segment_algolia.algolia_webstatic_sol_ecom_herodemorequest_click,redshift.segment_algolia.algolia_webstatic_sol_ecom_herodemorequest_click
segment_algolia.algolia_webstatic_sol_geo_getstartedapis_click,redshift.segment_algolia.algolia_webstatic_sol_geo_getstartedapis_click
segment_algolia.algolia_webstatic_sol_medi_archives_learnmore_click,redshift.segment_algolia.algolia_webstatic_sol_medi_archives_learnmore_click
segment_algolia.algolia_webstatic_sol_medi_global_learnmore_click,redshift.segment_algolia.algolia_webstatic_sol_medi_global_learnmore_click
segment_algolia.algolia_webstatic_sol_medi_herodemorequest_click,redshift.segment_algolia.algolia_webstatic_sol_medi_herodemorequest_click
segment_algolia.algolia_webstatic_sol_saas_infra_click,redshift.segment_algolia.algolia_webstatic_sol_saas_infra_click
segment_algolia.algolia_webstatic_sol_voic_herodemorequest_click,redshift.segment_algolia.algolia_webstatic_sol_voic_herodemorequest_click
segment_algolia.algolia_webstatic_sol_voic_readmore_click,redshift.segment_algolia.algolia_webstatic_sol_voic_readmore_click
segment_algolia.clic_sur_contacter_le_service_des_ventes,redshift.segment_algolia.clic_sur_contacter_le_service_des_ventes
segment_algolia.clicked_about_us,redshift.segment_algolia.clicked_about_us
segment_algolia.clicked_algolia_ai,redshift.segment_algolia.clicked_algolia_ai
segment_algolia.clicked_case_studies,redshift.segment_algolia.clicked_case_studies
segment_algolia.clicked_create_account,redshift.segment_algolia.clicked_create_account
segment_algolia.clicked_data_subprocessors,redshift.segment_algolia.clicked_data_subprocessors
segment_algolia.clicked_developer_blog,redshift.segment_algolia.clicked_developer_blog
segment_algolia.clicked_download,redshift.segment_algolia.clicked_download
segment_algolia.clicked_ebooks_guides,redshift.segment_algolia.clicked_ebooks_guides
segment_algolia.clicked_enterprise,redshift.segment_algolia.clicked_enterprise
segment_algolia.clicked_explore_all_frontend_possibilities,redshift.segment_algolia.clicked_explore_all_frontend_possibilities
segment_algolia.clicked_gdpr_faqs,redshift.segment_algolia.clicked_gdpr_faqs
segment_algolia.clicked_get_pro_plan_for_free,redshift.segment_algolia.clicked_get_pro_plan_for_free
segment_algolia.clicked_grade_your_search,redshift.segment_algolia.clicked_grade_your_search
segment_algolia.clicked_hashnode,redshift.segment_algolia.clicked_hashnode
segment_algolia.clicked_instant_search,redshift.segment_algolia.clicked_instant_search
segment_algolia.clicked_instantsearch,redshift.segment_algolia.clicked_instantsearch
segment_algolia.clicked_join_waitlist,redshift.segment_algolia.clicked_join_waitlist
segment_algolia.clicked_leadership,redshift.segment_algolia.clicked_leadership
segment_algolia.clicked_log_in,redshift.segment_algolia.clicked_log_in
segment_algolia.clicked_log_out,redshift.segment_algolia.clicked_log_out
segment_algolia.clicked_partners,redshift.segment_algolia.clicked_partners
segment_algolia.clicked_popular_projects,redshift.segment_algolia.clicked_popular_projects
segment_algolia.clicked_products_promo_banner,redshift.segment_algolia.clicked_products_promo_banner
segment_algolia.clicked_search_api,redshift.segment_algolia.clicked_search_api
segment_algolia.clicked_security,redshift.segment_algolia.clicked_security
segment_algolia.clicked_security_measures,redshift.segment_algolia.clicked_security_measures
segment_algolia.clicked_sign_up_git_hub,redshift.segment_algolia.clicked_sign_up_git_hub
segment_algolia.clicked_sso,redshift.segment_algolia.clicked_sso
segment_algolia.clicked_top_banner_series_d_funding,redshift.segment_algolia.clicked_top_banner_series_d_funding
segment_algolia.clicked_try_it_live,redshift.segment_algolia.clicked_try_it_live
segment_algolia.clicked_ui_kit_link,redshift.segment_algolia.clicked_ui_kit_link
segment_algolia.clicked_watch_the_webinar,redshift.segment_algolia.clicked_watch_the_webinar
segment_algolia.codex_cta_clicked,redshift.segment_algolia.codex_cta_clicked
segment_algolia.demo_request_ai_search,redshift.segment_algolia.demo_request_ai_search
segment_algolia.exposure,redshift.segment_algolia.exposure
segment_algolia.finished_company_label,redshift.segment_algolia.finished_company_label
segment_algolia.finished_email_label,redshift.segment_algolia.finished_email_label
segment_algolia.finished_first_name_event,redshift.segment_algolia.finished_first_name_event
segment_algolia.finished_marketing_optin_event,redshift.segment_algolia.finished_marketing_optin_event
segment_algolia.finished_message_event,redshift.segment_algolia.finished_message_event
segment_algolia.mutiny_experience_viewed,redshift.segment_algolia.mutiny_experience_viewed
segment_algolia.opop39p39p39p39p,redshift.segment_algolia.opop39p39p39p39p
segment_algolia.opop7x7x7x7x,redshift.segment_algolia.opop7x7x7x7x
segment_algolia.opop8w68w68w68w6,redshift.segment_algolia.opop8w68w68w68w6
segment_algolia.opopbs9bs9bs9bs9,redshift.segment_algolia.opopbs9bs9bs9bs9
segment_algolia.opopbwnbwnbwnbwn,redshift.segment_algolia.opopbwnbwnbwnbwn
segment_algolia.opopd3d3d3d3,redshift.segment_algolia.opopd3d3d3d3
segment_algolia.opophsrhsrhsrhsr,redshift.segment_algolia.opophsrhsrhsrhsr
segment_algolia.opopiwdiwdiwdiwd,redshift.segment_algolia.opopiwdiwdiwdiwd
segment_algolia.toggled_the_in_depth_content_menu,redshift.segment_algolia.toggled_the_in_depth_content_menu
segment_algolia.tracks,redshift.segment_algolia.tracks
segment_algolia.view_item_list,redshift.segment_algolia.view_item_list
segment_algolia.viewed_promo_banner,redshift.segment_algolia.viewed_promo_banner
segment_algolia_blog.clicked_blog_ux,redshift.segment_algolia_blog.clicked_blog_ux
segment_algolia_blog.clicked_contact_us,redshift.segment_algolia_blog.clicked_contact_us
segment_algolia_blog.twitter_sharing,redshift.segment_algolia_blog.twitter_sharing
segment_algolia_blog.users,redshift.segment_algolia_blog.users
segment_algolia_community.hello,redshift.segment_algolia_community.hello
segment_algolia_community.tracks,redshift.segment_algolia_community.tracks
segment_algolia_dashboard_backend._404_page,redshift.segment_algolia_dashboard_backend._404_page
segment_algolia_dashboard_backend.added_filter_on_ai_synonyms,redshift.segment_algolia_dashboard_backend.added_filter_on_ai_synonyms
segment_algolia_dashboard_backend.added_filter_on_personalization,redshift.segment_algolia_dashboard_backend.added_filter_on_personalization
segment_algolia_dashboard_backend.algolia_web_ab_testing_stop_click,redshift.segment_algolia_dashboard_backend.algolia_web_ab_testing_stop_click
segment_algolia_dashboard_backend.algolia_web_analytics_advanced_features_cta_click,redshift.segment_algolia_dashboard_backend.algolia_web_analytics_advanced_features_cta_click
segment_algolia_dashboard_backend.algolia_web_analytics_advanced_view,redshift.segment_algolia_dashboard_backend.algolia_web_analytics_advanced_view
segment_algolia_dashboard_backend.algolia_web_analytics_filters_popular_values_per_filter_csv_export,redshift.segment_algolia_dashboard_backend.algolia_web_analytics_filters_popular_values_per_filter_csv_export
segment_algolia_dashboard_backend.algolia_web_analytics_geo_popular_countries_csv_export,redshift.segment_algolia_dashboard_backend.algolia_web_analytics_geo_popular_countries_csv_export
segment_algolia_dashboard_backend.algolia_web_analytics_lost_opportunities_low_conversion_rate_csv_export,redshift.segment_algolia_dashboard_backend.algolia_web_analytics_lost_opportunities_low_conversion_rate_csv_export
segment_algolia_dashboard_backend.algolia_web_analytics_results_attribute_settings,redshift.segment_algolia_dashboard_backend.algolia_web_analytics_results_attribute_settings
segment_algolia_dashboard_backend.algolia_web_browse_page_view61305988_or_1030_1030,redshift.segment_algolia_dashboard_backend.algolia_web_browse_page_view61305988_or_1030_1030
segment_algolia_dashboard_backend.algolia_web_browse_page_view82399816_or_1821_1824,redshift.segment_algolia_dashboard_backend.algolia_web_browse_page_view82399816_or_1821_1824
segment_algolia_dashboard_backend.algolia_web_browse_page_view_echo_7mlb5517ps_wwxa4quvvq,redshift.segment_algolia_dashboard_backend.algolia_web_browse_page_view_echo_7mlb5517ps_wwxa4quvvq
segment_algolia_dashboard_backend.algolia_web_browse_page_view_ping_n_21_127_0_0_1,redshift.segment_algolia_dashboard_backend.algolia_web_browse_page_view_ping_n_21_127_0_0_1
segment_algolia_dashboard_backend.algolia_web_browse_page_view_sleep_20_to_i,redshift.segment_algolia_dashboard_backend.algolia_web_browse_page_view_sleep_20_to_i
segment_algolia_dashboard_backend.algolia_web_dsn_page_view_and_5225_5225,redshift.segment_algolia_dashboard_backend.algolia_web_dsn_page_view_and_5225_5225
segment_algolia_dashboard_backend.algolia_web_dsn_page_view_bcc_cn3lmrzh7amv8ojeouofealhg8mzfn7gv8iy6n_burpcollaborator_net_tzo_c,redshift.segment_algolia_dashboard_backend.algolia_web_dsn_page_view_bcc_cn3lmrzh7amv8ojeouofealhg8mzfn7gv8iy6n_burpcollaborator_net_tzo_c
segment_algolia_dashboard_backend.algolia_web_dsn_page_view_function_if_typeof_nq5x6_undefined_var_a_new_date_do_var_b_new_date_while_b_a_20000_nq5x6_1,redshift.segment_algolia_dashboard_backend.algolia_web_dsn_page_view_function_if_typeof_nq5x6_undefined_var_a_new_date_do_var_b_new_date_while_b_a_20000_nq5x6_1
segment_algolia_dashboard_backend.algolia_web_dsn_page_view_select_load_file_qe8zd5qvyod9z2asf8ft5ocv7mdd61x4lw8mwb_burpcollaborator_net_hqf,redshift.segment_algolia_dashboard_backend.algolia_web_dsn_page_view_select_load_file_qe8zd5qvyod9z2asf8ft5ocv7mdd61x4lw8mwb_burpcollaborator_net_hqf
segment_algolia_dashboard_backend.algolia_web_eval_compile_for_x_in_range_1_n_import_time_n_time_sleep_20_a_single,redshift.segment_algolia_dashboard_backend.algolia_web_eval_compile_for_x_in_range_1_n_import_time_n_time_sleep_20_a_single
segment_algolia_dashboard_backend.algolia_web_explorer_voice_search_view,redshift.segment_algolia_dashboard_backend.algolia_web_explorer_voice_search_view
segment_algolia_dashboard_backend.algolia_web_query_rules_new_rule_click,redshift.segment_algolia_dashboard_backend.algolia_web_query_rules_new_rule_click
segment_algolia_dashboard_backend.algolia_web_query_rules_save_rule_click,redshift.segment_algolia_dashboard_backend.algolia_web_query_rules_save_rule_click
segment_algolia_dashboard_backend.algolia_web_stats_page_view,redshift.segment_algolia_dashboard_backend.algolia_web_stats_page_view
segment_algolia_dashboard_backend.algolia_web_tguj6_z_z,redshift.segment_algolia_dashboard_backend.algolia_web_tguj6_z_z
segment_algolia_dashboard_backend.algolia_web_uidemo_page_view,redshift.segment_algolia_dashboard_backend.algolia_web_uidemo_page_view
segment_algolia_dashboard_backend.algolia_web_xmlparser_v_doctype_a_system_http_8oxit3460z4lsuepx25v02nhu80yon_burpcollaborator_net_xxe_a_a,redshift.segment_algolia_dashboard_backend.algolia_web_xmlparser_v_doctype_a_system_http_8oxit3460z4lsuepx25v02nhu80yon_burpcollaborator_net_xxe_a_a
segment_algolia_dashboard_backend.click_attribution_added,redshift.segment_algolia_dashboard_backend.click_attribution_added
segment_algolia_dashboard_backend.click_contact_support,redshift.segment_algolia_dashboard_backend.click_contact_support
segment_algolia_dashboard_backend.click_estimate_cost,redshift.segment_algolia_dashboard_backend.click_estimate_cost
segment_algolia_dashboard_backend.click_events_card,redshift.segment_algolia_dashboard_backend.click_events_card
segment_algolia_dashboard_backend.click_modal_clicked_show_percents,redshift.segment_algolia_dashboard_backend.click_modal_clicked_show_percents
segment_algolia_dashboard_backend.click_restore_default_settings,redshift.segment_algolia_dashboard_backend.click_restore_default_settings
segment_algolia_dashboard_backend.clicked_academy_neural_search_shortcut,redshift.segment_algolia_dashboard_backend.clicked_academy_neural_search_shortcut
segment_algolia_dashboard_backend.clicked_add_budget_trigger,redshift.segment_algolia_dashboard_backend.clicked_add_budget_trigger
segment_algolia_dashboard_backend.clicked_advanced_mode,redshift.segment_algolia_dashboard_backend.clicked_advanced_mode
segment_algolia_dashboard_backend.clicked_apply_change_for_cbf_attributes,redshift.segment_algolia_dashboard_backend.clicked_apply_change_for_cbf_attributes
segment_algolia_dashboard_backend.clicked_apply_neural_search_event_sources,redshift.segment_algolia_dashboard_backend.clicked_apply_neural_search_event_sources
segment_algolia_dashboard_backend.clicked_autofiltering_settings,redshift.segment_algolia_dashboard_backend.clicked_autofiltering_settings
segment_algolia_dashboard_backend.clicked_billing_overview_shortcut,redshift.segment_algolia_dashboard_backend.clicked_billing_overview_shortcut
segment_algolia_dashboard_backend.clicked_browse_tab,redshift.segment_algolia_dashboard_backend.clicked_browse_tab
segment_algolia_dashboard_backend.clicked_cancel_budget_edit,redshift.segment_algolia_dashboard_backend.clicked_cancel_budget_edit
segment_algolia_dashboard_backend.clicked_change_weight,redshift.segment_algolia_dashboard_backend.clicked_change_weight
segment_algolia_dashboard_backend.clicked_compare_with_neural_search,redshift.segment_algolia_dashboard_backend.clicked_compare_with_neural_search
segment_algolia_dashboard_backend.clicked_complete_migration_in_ai_personalization,redshift.segment_algolia_dashboard_backend.clicked_complete_migration_in_ai_personalization
segment_algolia_dashboard_backend.clicked_configure_ai_personalization,redshift.segment_algolia_dashboard_backend.clicked_configure_ai_personalization
segment_algolia_dashboard_backend.clicked_contact_link_from_records_manual_upload_modal,redshift.segment_algolia_dashboard_backend.clicked_contact_link_from_records_manual_upload_modal
segment_algolia_dashboard_backend.clicked_contact_us,redshift.segment_algolia_dashboard_backend.clicked_contact_us
segment_algolia_dashboard_backend.clicked_copy_index_settings,redshift.segment_algolia_dashboard_backend.clicked_copy_index_settings
segment_algolia_dashboard_backend.clicked_create_relevant_sort,redshift.segment_algolia_dashboard_backend.clicked_create_relevant_sort
segment_algolia_dashboard_backend.clicked_create_ui_demo,redshift.segment_algolia_dashboard_backend.clicked_create_ui_demo
segment_algolia_dashboard_backend.clicked_curate_this,redshift.segment_algolia_dashboard_backend.clicked_curate_this
